country,number,code
Angola,1,AGO
Australia,4,AUS
Bangladesh,2,BGD
Barbados,1,BRB
Brazil,2,BRA
Canada,15,CAN
China,135,CHN
Ecuador,1,ECU
Egypt,1,EGY
Germany,3,DEU
Honduras,1,HND
Hong Kong,7,HKG
India,103,IND
Indonesia,10,IDN
Iran,1,IRN
Israel,1,ISR
Japan,6,JPN
"Korea, South",311,KOR
Macau,1,MAC
Malaysia,6,MYS
Mexico,2,MEX
Nigeria,3,NGA
Norway,1,NOR
Pakistan,5,PAK
Peru,1,PER
Philippines,1,PHL
Russia,2,RUS
Singapore,20,SGP
South Africa,2,ZAF
Spain,1,ESP
Taiwan,40,TWN
Thailand,13,THA
Turkey,1,TUR
Ukraine,1,UKR
United Arab Emirates,1,ARE
United Kingdom,5,GBR
Venezuela,2,VEN
