country,number
Argentina ,1
Australia ,3
Azerbaijan ,1
Bangladesh ,2
Belgium ,2
Brazil ,3
Burma (Myanmar) ,1
Canada ,17
Chile ,1
China ,506
Costa Rica ,2
Egypt ,3
France ,2
Germany ,1
Ghana ,1
Great Britain ,1
Greece ,1
Hong Kong ,3
India ,99
Indonesia ,11
Japan ,4
Jordan ,1
Kazakhstan ,3
"Korea, South ",147
Kuwait ,1
Lebanon ,1
Malaysia ,14
Mexico ,1
Mongolia ,1
Nepal ,1
Nigeria ,4
Norway ,1
Pakistan ,8
Philippines ,2
Russia ,1
Saudi Arabia ,1
Singapore ,16
Sweden ,1
Switzerland ,2
Taiwan ,13
Thailand ,10
Turkey ,9
United Kingdom ,1
Vietnam ,3
