country,
Argentina ,1
Austria ,1
"Bahamas, The ",1
Bangladesh ,2
Brazil ,3
Bulgaria ,1
Canada ,13
Chile ,1
China ,679
Dominican Republic ,1
Ecuador ,4
Egypt ,1
France ,2
Ghana ,1
Hong Kong ,1
India ,134
Indonesia ,13
Israel ,1
Japan ,6
"Korea, North ",1
"Korea, South ",185
Malaysia ,4
Mexico ,6
Morocco ,2
New Zealand ,3
Nigeria ,5
Norway ,1
Pakistan ,3
Philippines ,1
Poland ,1
Portugal ,1
Qatar ,1
Russia ,2
Saudi Arabia ,2
Singapore ,19
Sri Lanka ,2
Taiwan ,25
Thailand ,8
Turkey ,19
Ukraine ,1
United Arab Emirates ,1
United Kingdom ,3
Vietnam ,6
Zimbabwe ,1
