country,number,code
Australia,3,AUS
Bahrain,1,BHR
Bangladesh,2,BGD
Belgium,1,BEL
Brazil,4,BRA
Canada,15,CAN
Chile,1,CHL
China,432,CHN
Costa Rica,1,CRI
Denmark,1,DNK
Ecuador,1,ECU
Egypt,1,EGY
France,1,FRA
Honduras,1,HND
Hong Kong,6,HKG
India,101,IND
Indonesia,13,IDN
Iran,1,IRN
Italy,1,ITA
Japan,2,JPN
Kazakhstan,7,KAZ
"Korea, South",211,KOR
Kyrgyzstan,1,KGZ
Macau,1,MAC
Malaysia,6,MYS
Nepal,2,NPL
New Zealand,1,NZL
Nigeria,3,NGA
Pakistan,5,PAK
Singapore,9,SGP
Sri Lanka,1,LKA
Syria,1,SYR
Taiwan,42,TWN
Thailand,12,THA
Trinidad and Tobago,1,TTO
Turkey,6,TUR
United Kingdom,3,GBR
Venezuela,1,VEN
Vietnam,1,VNM
Zimbabwe,1,ZWE
United States of America,5892,USA
