county,number
Adams ,28
Bond ,2
Boone ,11
Brown ,1
Bureau ,11
Calhoun ,1
Carroll ,1
Cass ,6
Champaign ,198
Christian ,11
Clark ,2
Clay ,2
Clinton ,11
Coles ,20
Cook ,2405
Crawford ,6
Dekalb ,34
Dewitt ,6
Douglas ,6
Dupage ,920
Edgar ,6
Edwards ,2
Effingham ,16
Fayette ,2
Ford ,6
Franklin ,3
Fulton ,12
Greene ,8
Grundy ,21
Hancock ,7
Henderson ,1
Henry ,15
Iroquois ,18
Jackson ,9
Jasper ,1
Jefferson ,6
Jersey ,3
Jo Daviess ,3
Kane ,195
Kankakee ,44
Kendall ,30
Knox ,11
La Salle ,20
Lake ,535
Lawrence ,5
Lee ,10
Livingston ,20
Logan ,6
Macon ,29
Macoupin ,8
Madison ,77
Marion ,6
Marshall ,6
Mason ,1
Massac ,1
Mcdonough ,16
Mchenry ,180
Mclean ,86
Menard ,2
Monroe ,12
Montgomery ,6
Morgan ,12
Moultrie ,3
Ogle ,14
Peoria ,81
Perry ,5
Piatt ,15
Pike ,4
Pulaski ,1
Putnam ,2
Randolph ,2
Richland ,1
Rock Island ,44
Saint Clair ,82
Saline ,3
Sangamon ,89
Schuyler ,2
Scott ,2
Shelby ,1
Stephenson ,17
Tazewell ,43
Union ,1
Vermilion ,32
Wabash ,1
Warren ,2
Washington ,2
Wayne ,2
White ,3
Whiteside ,4
Will ,372
Williamson ,8
Winnebago ,71
Woodford ,8
