county,code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
mclean,113,104,86,75,92,34,4,2,5,50,6,59,83
pope,151,1,zero,zero,zero,zero,zero,zero,zero,zero,zero
madison,119,73,77,54,49,51,60,49,40,46,54
vermilion,183,13,32,18,29,16,16,17,16,19,19
logan,107,11,6,12,5,6,5,11,4,7,2
scott,171,2,2,1,1,2,1,1,2,zero,2
ogle,141,21,14,16,18,16,12,8,12,6,15
mercer,131,4,zero,3,7,4,1,5,1,2,2
warren,187,5,2,1,5,2,6,2,4,5,1
cumberland,035,2,zero,5,zero,1,2,2,2,2,1
lake,097,570,535,587,564,559,582,632,563,533,627
wayne,191,2,2,4,4,4,1,2,2,1,3
henderson,071,3,1,zero,zero,1,1,3,zero,zero,3
brown,009,3,1,4,1,1,1,zero,1,1,zero
champaign,019,222,198,179,180,175,170,167,173,158,175
mcdonough,109,8,16,10,8,8,zero,2,9,1,8,4
hamilton,065,zero,zero,zero,zero,1,zero,2,2,zero,zero
macoupin,117,6,8,13,9,9,6,8,13,13,5
cook,031,2396,2405,2369,2316,2209,2366,2115,2315,2113,2429
mchenry,111,159,180,165,153,106,6,3,23,100,14,107,120
knox,095,8,11,13,8,8,12,11,5,7,5
la salle,099,44,20,20,30,31,17,20,27,13,25
alexander,003,1,zero,zero,zero,2,zero,zero,1,1,zero
hardin,069,zero,zero,1,zero,2,zero,1,zero,zero,zero
adams,001,22,28,14,9,13,7,8,4,6,7
menard,129,6,2,7,3,4,1,5,4,1,1
hancock,067,7,7,3,3,2,5,2,4,2,zero
coles,029,12,20,18,14,18,12,16,14,13,9
greene,061,4,8,2,4,1,1,1,2,1,2
clay,025,3,2,zero,1,zero,1,zero,zero,2,zero
marion,121,3,6,4,6,5,3,1,4,5,8
rock island,161,32,44,24,27,19,29,20,16,19,20
grundy,063,20,21,31,14,7,13,17,16,14,21
moultrie,139,4,3,6,2,6,1,3,4,3,7
kane,089,213,195,193,185,180,162,157,164,156,175
randolph,157,6,2,2,5,6,1,zero,2,3,1
perry,145,3,5,3,4,3,zero,5,1,1,3
jackson,077,10,9,9,9,6,13,12,15,15,18
dupage,043,896,920,794,817,761,780,719,704,635,665
dewitt,039,4,6,2,4,3,3,4,3,1,4
calhoun,013,1,1,zero,zero,zero,zero,zero,zero,zero,zero
douglas,041,8,6,6,11,10,5,4,9,5,4
mason,125,3,1,5,1,7,1,8,4,2,zero
bureau,011,18,11,11,14,2,6,10,4,5,5
wabash,185,5,1,2,1,1,1,zero,3,zero,1
christian,021,20,11,10,7,15,6,6,5,7,6
lee,103,18,10,5,12,20,12,7,12,4,6
lawrence,101,1,5,5,8,3,3,5,5,1,2
piatt,147,8,15,15,6,9,9,16,13,17,7
pike,149,4,4,3,5,2,1,2,3,3,3
saint clair,163,64,82,74,59,52,51,54,50,50,45
stephenson,177,16,17,9,6,12,8,7,5,5,8
edgar,045,5,6,9,5,5,4,8,3,5,5
iroquois,075,11,18,13,23,8,10,14,6,12,16
livingston,105,13,20,12,9,12,6,13,17,16,10
franklin,055,2,3,4,6,6,4,7,5,3,2
bond,005,3,2,3,5,5,5,5,1,1,4
jersey,083,1,3,1,8,4,5,1,3,5,5
macon,115,45,29,29,29,19,35,16,28,22,18
kendall,093,37,30,42,37,33,28,39,32,31,34
clinton,027,9,11,6,3,2,7,9,2,9,6
clark,023,3,2,3,3,3,2,6,2,zero,3
marshall,123,8,6,3,3,6,6,4,3,4,3
washington,189,3,2,4,3,5,5,4,2,2,2
schuyler,169,3,2,5,zero,3,3,zero,1,2,1
jasper,079,5,1,3,zero,2,zero,2,4,5,3
gallatin,059,zero,zero,zero,zero,zero,1,1,zero,zero,zero
union,181,1,1,2,2,3,1,1,2,1,3
stark,175,1,zero,2,1,1,zero,zero,4,zero,zero
massac,127,3,1,2,1,1,3,2,2,2,1
white,193,3,3,6,6,4,3,1,1,2,3
crawford,033,6,6,5,7,5,7,1,3,1,zero
williamson,199,9,8,8,12,6,5,8,6,6,9
cass,017,5,6,4,6,zero,6,2,3,4,1
peoria,143,86,81,60,69,63,69,66,55,53,56
fayette,051,zero,2,2,2,1,3,4,1,2,zero
jo daviess,085,3,3,3,5,2,3,3,1,1,3
ford,053,5,6,6,4,4,6,6,3,8,3
woodford,203,19,8,15,23,17,15,4,3,4,11
will,197,368,372,358,409,403,376,357,398,384,420
morgan,137,7,12,9,12,6,5,7,10,8,9
henry,073,19,15,16,18,14,11,12,15,11,16
putnam,155,3,2,3,2,1,1,1,zero,2,2
fulton,057,9,12,9,7,7,3,7,6,4,7
kankakee,091,43,44,37,44,33,34,32,35,17,28
carroll,015,3,1,2,2,1,1,1,zero,2,2
dekalb,037,27,34,37,30,28,19,19,23,20,26
effingham,049,15,16,11,8,11,15,19,6,18,15
monroe,133,12,12,13,14,14,9,7,10,12,10
saline,165,2,3,3,3,2,2,zero,3,1,zero
richland,159,5,1,4,2,5,2,1,2,3,7
shelby,173,3,1,4,3,3,6,7,1,zero,2
edwards,047,1,2,1,1,1,zero,1,1,1,zero
montgomery,135,6,6,7,10,3,12,2,6,3,8
pulaski,153,zero,1,1,zero,1,zero,1,zero,zero,zero
jefferson,081,7,6,5,5,8,7,4,5,5,3
winnebago,201,82,71,70,60,51,86,47,53,58,30
tazewell,179,43,43,66,33,48,43,37,36,32,25
sangamon,167,97,89,74,81,43,51,62,50,40,56
johnson,087,zero,zero,1,zero,3,1,zero,1,2,zero
whiteside,195,14,4,14,8,9,15,6,9,12,8
boone,007,22,11,17,7,15,16,8,19,14,11
