county,number
Adams ,9
Bond ,5
Boone ,7
Brown ,1
Bureau ,14
Carroll ,2
Cass ,6
Champaign ,180
Christian ,7
Clark ,3
Clay ,1
Clinton ,3
Coles ,14
Cook ,2316
Crawford ,7
Dekalb ,30
Dewitt ,4
Douglas ,11
Dupage ,817
Edgar ,5
Edwards ,1
Effingham ,8
Fayette ,2
Ford ,4
Franklin ,6
Fulton ,7
Greene ,4
Grundy ,14
Hancock ,3
Henry ,18
Iroquois ,23
Jackson ,9
Jefferson ,5
Jersey ,8
Jo Daviess ,5
Kane ,185
Kankakee ,44
Kendall ,37
Knox ,8
La Salle ,30
Lake ,564
Lawrence ,8
Lee ,12
Livingston ,9
Logan ,5
Macon ,29
Macoupin ,9
Madison ,49
Marion ,6
Marshall ,3
Mason ,1
Massac ,1
Mcdonough ,8
Mchenry ,153
Mclean ,92
Menard ,3
Mercer ,7
Monroe ,14
Montgomery ,10
Morgan ,12
Moultrie ,2
Ogle ,18
Peoria ,69
Perry ,4
Piatt ,6
Pike ,5
Putnam ,2
Randolph ,5
Richland ,2
Rock Island ,27
Saint Clair ,59
Saline ,3
Sangamon ,81
Scott ,1
Shelby ,3
Stark ,1
Stephenson ,6
Tazewell ,33
Union ,2
Vermilion ,29
Wabash ,1
Warren ,5
Washington ,3
Wayne ,4
White ,6
Whiteside ,8
Will ,409
Williamson ,12
Winnebago ,60
Woodford ,23
,
