county,percent
Adams ,7
Bond ,5
Boone ,16
Brown ,1
Bureau ,6
Carroll ,1
Cass ,6
Champaign ,170
Christian ,6
Clark ,2
Clay ,1
Clinton ,7
Coles ,12
Cook ,2366
Crawford ,7
Cumberland ,2
Dekalb ,19
Dewitt ,3
Douglas ,5
Dupage ,780
Edgar ,4
Effingham ,15
Fayette ,3
Ford ,6
Franklin ,4
Fulton ,3
Gallatin ,1
Greene ,1
Grundy ,13
Hancock ,5
Henderson ,1
Henry ,11
Iroquois ,10
Jackson ,13
Jefferson ,7
Jersey ,5
Jo Daviess ,3
Johnson ,1
Kane ,162
Kankakee ,34
Kendall ,28
Knox ,12
La Salle ,17
Lake ,582
Lawrence ,3
Lee ,12
Livingston ,6
Logan ,5
Macon ,35
Macoupin ,6
Madison ,60
Marion ,3
Marshall ,6
Mason ,1
Massac ,3
Mchenry ,6
Mclean ,4
Menard ,1
Mercer ,1
Monroe ,9
Montgomery ,12
Morgan ,5
Moultrie ,1
Ogle ,12
Peoria ,69
Piatt ,9
Pike ,1
Putnam ,1
Randolph ,1
Richland ,2
Rock Island ,29
Saint Clair ,51
Saline ,2
Sangamon ,51
Schuyler ,3
Scott ,1
Shelby ,6
Stephenson ,8
Tazewell ,43
Union ,1
Vermilion ,16
Wabash ,1
Warren ,6
Washington ,5
Wayne ,1
White ,3
Whiteside ,15
Will ,376
Williamson ,5
Winnebago ,86
Woodford ,15
