county,percent
Adams ,7
Bond ,4
Boone ,11
Bureau ,5
Carroll ,2
Cass ,1
Champaign ,175
Christian ,6
Clark ,3
Clinton ,6
Coles ,9
Cook ,2429
Cumberland ,1
Dekalb ,26
Dewitt ,4
Douglas ,4
Dupage ,665
Edgar ,5
Effingham ,15
Ford ,3
Franklin ,2
Fulton ,7
Greene ,2
Grundy ,21
Henderson ,3
Henry ,16
Iroquois ,16
Jackson ,18
Jasper ,3
Jefferson ,3
Jersey ,5
Jo Daviess ,3
Kane ,175
Kankakee ,28
Kendall ,34
Knox ,5
La Salle ,25
Lake ,627
Lawrence ,2
Lee ,6
Livingston ,10
Logan ,2
Macon ,18
Macoupin ,5
Madison ,54
Marion ,8
Marshall ,3
Massac ,1
McDonough ,4
McHenry ,120
McLean ,83
Menard ,1
Mercer ,2
Monroe ,10
Montgomery ,8
Morgan ,9
Moultrie ,7
Ogle ,15
Peoria ,56
Perry ,3
Piatt ,7
Pike ,3
Putnam ,2
Randolph ,1
Richland ,7
Rock Island ,20
Saint Clair ,45
Sangamon ,56
Schuyler ,1
Scott ,2
Shelby ,2
Stephenson ,8
Tazewell ,25
Union ,3
Vermilion ,19
Wabash ,1
Warren ,1
Washington ,2
Wayne ,3
White ,3
Whiteside ,8
Will ,420
Williamson ,9
Winnebago ,30
Woodford ,11
