state,number,fips
Alabama,3,01
Alaska,3,02
Arizona,5,04
Arkansas,4,05
California,63,06
Colorado,13,08
Connecticut,10,09
District of Columbia,1,11
Florida,14,12
Georgia,9,13
Hawaii,1,15
Idaho,1,16
Illinois,5433,17
Indiana,11,18
Iowa,10,19
Kansas,6,20
Kentucky,5,21
Louisiana,4,22
Maryland,17,24
Massachusetts,24,25
Michigan,13,26
Minnesota,12,27
Missouri,36,29
Nebraska,4,31
Nevada,2,32
New Hampshire,2,33
New Jersey,34,34
New Mexico,1,35
New York,29,36
North Carolina,6,37
Ohio,26,39
Oklahoma,3,40
Oregon,4,41
Pennsylvania,12,42
Tennessee,6,47
Texas,22,48
Virginia,19,51
Washington,7,53
Wisconsin,15,55
