state,number,fips
Alabama,2,01
Arizona,6,04
Arkansas,2,05
California,176,06
Colorado,10,08
Connecticut,16,09
Delaware,1,10
Florida,24,12
Georgia,15,13
Hawaii,5,15
Idaho,1,16
Illinois,5317,17
Indiana,12,18
Iowa,5,19
Kansas,7,20
Kentucky,8,21
Louisiana,7,22
Maryland,20,24
Massachusetts,29,25
Michigan,27,26
Minnesota,8,27
Missouri,32,29
Nebraska,1,31
Nevada,1,32
New Hampshire,2,33
New Jersey,86,34
New Mexico,1,35
New York,41,36
North Carolina,7,37
Ohio,34,39
Oklahoma,5,40
Oregon,6,41
Pennsylvania,19,42
Puerto Rico,3,72
South Carolina,3,45
Tennessee,10,47
Texas,32,48
Virginia,50,51
Washington,16,53
West Virginia,1,54
Wisconsin,9,55
